case_id,start_time,end_time,Activity,defectFixed,defectType,numberRepairs,Role,phoneType
113,2017-01-04T20:59:00,2017-01-04T20:59:00,Archive Repair,TRUE,,1,System,
1138,2017-01-24T06:21:00,2017-01-24T06:21:00,Register,,,,System,
1138,2017-01-24T06:21:00,2017-01-24T06:29:00,Analyze Defect,,4,,Tester1,T1
1138,2017-01-24T06:48:00,2017-01-24T06:48:00,Inform User,,,,System,
1138,2017-01-24T06:48:00,2017-01-24T06:54:00,Repair (Simple),,,,SolverS1,
1138,2017-01-24T06:54:00,2017-01-24T07:04:00,Test Repair,FALSE,,1,Tester6,
1138,2017-01-24T07:10:00,2017-01-24T07:10:00,Restart Repair,,,,System,
1138,2017-01-24T07:10:00,2017-01-24T07:27:00,Repair (Simple),,,,SolverS3,
1138,2017-01-24T07:27:00,2017-01-24T07:35:00,Test Repair,TRUE,,2,Tester6,
114,2017-01-03T11:59:00,2017-01-03T11:59:00,Register,,,,System,
114,2017-01-03T11:59:00,2017-01-03T12:07:00,Analyze Defect,,5,,Tester3,T3
114,2017-01-03T12:23:00,2017-01-03T12:33:00,Repair (Simple),,,,SolverS3,
114,2017-01-03T12:33:00,2017-01-03T12:40:00,Test Repair,TRUE,,1,Tester2,
114,2017-01-03T12:50:00,2017-01-03T12:50:00,Inform User,,,,System,
114,2017-01-03T12:50:00,2017-01-03T12:50:00,Archive Repair,TRUE,,1,System,
1142,2017-01-24T08:38:00,2017-01-24T08:38:00,Register,,,,System,
1142,2017-01-24T08:38:00,2017-01-24T08:46:00,Analyze Defect,,1,,Tester3,T1
1142,2017-01-24T08:55:00,2017-01-24T09:00:00,Repair (Simple),,,,SolverS1,
1142,2017-01-24T09:00:00,2017-01-24T09:05:00,Test Repair,FALSE,,1,Tester1,
1142,2017-01-24T09:15:00,2017-01-24T09:15:00,Restart Repair,,,,System,
1142,2017-01-24T09:15:00,2017-01-24T09:21:00,Repair (Simple),,,,SolverS1,
1142,2017-01-24T09:21:00,2017-01-24T09:26:00,Test Repair,FALSE,,2,Tester3,
1142,2017-01-24T09:32:00,2017-01-24T09:32:00,Inform User,,,,System,
1142,2017-01-24T09:35:00,2017-01-24T09:35:00,Restart Repair,,,,System,
1142,2017-01-24T09:35:00,2017-01-24T09:41:00,Repair (Simple),,,,SolverS1,
1142,2017-01-24T09:41:00,2017-01-24T09:46:00,Test Repair,FALSE,,3,Tester4,
115,2017-01-04T11:30:00,2017-01-04T11:30:00,Register,,,,System,
115,2017-01-04T11:30:00,2017-01-04T11:35:00,Analyze Defect,,4,,Tester4,T1
115,2017-01-04T11:44:00,2017-01-04T11:56:00,Repair (Simple),,,,SolverS3,
115,2017-01-04T11:50:00,2017-01-04T11:50:00,Inform User,,,,System,
115,2017-01-04T11:56:00,2017-01-04T12:04:00,Test Repair,TRUE,,1,Tester4,
115,2017-01-04T12:09:00,2017-01-04T12:09:00,Archive Repair,TRUE,,1,System,
116,2017-01-04T12:34:00,2017-01-04T12:34:00,Register,,,,System,
116,2017-01-04T12:34:00,2017-01-04T12:41:00,Analyze Defect,,2,,Tester5,T2
116,2017-01-04T12:48:00,2017-01-04T13:07:00,Repair (Simple),,,,SolverS3,
116,2017-01-04T13:02:00,2017-01-04T13:02:00,Inform User,,,,System,
116,2017-01-04T13:07:00,2017-01-04T13:13:00,Test Repair,TRUE,,1,Tester1,
116,2017-01-04T13:19:00,2017-01-04T13:19:00,Archive Repair,TRUE,,1,System,
117,2017-01-03T17:29:00,2017-01-03T17:29:00,Register,,,,System,
117,2017-01-03T17:29:00,2017-01-03T17:36:00,Analyze Defect,,7,,Tester2,T2
117,2017-01-03T18:06:00,2017-01-03T18:26:00,Repair (Complex),,,,SolverC2,
117,2017-01-03T18:10:00,2017-01-03T18:10:00,Inform User,,,,System,
117,2017-01-03T18:26:00,2017-01-03T18:33:00,Test Repair,TRUE,,0,Tester3,
117,2017-01-03T18:40:00,2017-01-03T18:40:00,Archive Repair,TRUE,,0,System,
118,2017-01-03T23:30:00,2017-01-03T23:30:00,Register,,,,System,
118,2017-01-03T23:30:00,2017-01-03T23:35:00,Analyze Defect,,4,,Tester4,T1
118,2017-01-03T23:51:00,2017-01-03T23:57:00,Repair (Simple),,,,SolverS1,
118,2017-01-03T23:57:00,2017-01-04T00:02:00,Test Repair,FALSE,,1,Tester4,
118,2017-01-04T00:04:00,2017-01-04T00:04:00,Inform User,,,,System,
118,2017-01-04T00:09:00,2017-01-04T00:09:00,Restart Repair,,,,System,
118,2017-01-04T00:09:00,2017-01-04T00:27:00,Repair (Simple),,,,SolverS3,
118,2017-01-04T00:27:00,2017-01-04T00:33:00,Test Repair,TRUE,,2,Tester1,
118,2017-01-04T00:40:00,2017-01-04T00:40:00,Archive Repair,TRUE,,2,System,
119,2017-01-04T21:22:00,2017-01-04T21:22:00,Register,,,,System,
119,2017-01-04T21:22:00,2017-01-04T21:31:00,Analyze Defect,,6,,Tester5,T2
119,2017-01-04T21:46:00,2017-01-04T21:46:00,Inform User,,,,System,
119,2017-01-04T21:51:00,2017-01-04T22:01:00,Repair (Complex),,,,SolverC1,
119,2017-01-04T22:01:00,2017-01-04T22:07:00,Test Repair,TRUE,,0,Tester3,
119,2017-01-04T22:14:00,2017-01-04T22:14:00,Archive Repair,TRUE,,0,System,
12,2017-01-01T15:12:00,2017-01-01T15:12:00,Register,,,,System,
12,2017-01-01T15:12:00,2017-01-01T15:22:00,Analyze Defect,,2,,Tester4,T3
12,2017-01-01T15:37:00,2017-01-01T15:44:00,Repair (Simple),,,,SolverS1,
12,2017-01-01T15:44:00,2017-01-01T15:54:00,Test Repair,FALSE,,1,Tester1,
12,2017-01-01T16:02:00,2017-01-01T16:02:00,Restart Repair,,,,System,
12,2017-01-01T16:02:00,2017-01-01T16:19:00,Repair (Simple),,,,SolverS3,
12,2017-01-01T16:10:00,2017-01-01T16:10:00,Inform User,,,,System,
12,2017-01-01T16:19:00,2017-01-01T16:26:00,Test Repair,TRUE,,2,Tester3,
12,2017-01-01T16:36:00,2017-01-01T16:36:00,Archive Repair,TRUE,,2,System,
120,2017-01-03T14:10:00,2017-01-03T14:10:00,Register,,,,System,
120,2017-01-03T14:10:00,2017-01-03T14:19:00,Analyze Defect,,7,,Tester1,T2
120,2017-01-03T14:29:00,2017-01-03T15:13:00,Repair (Complex),,,,SolverC3,
120,2017-01-03T14:46:00,2017-01-03T14:46:00,Inform User,,,,System,
120,2017-01-03T15:13:00,2017-01-03T15:21:00,Test Repair,TRUE,,0,Tester3,
120,2017-01-03T15:29:00,2017-01-03T15:29:00,Archive Repair,TRUE,,0,System,
121,2017-01-04T13:35:00,2017-01-04T13:35:00,Register,,,,System,
121,2017-01-04T13:35:00,2017-01-04T13:42:00,Analyze Defect,,7,,Tester5,T3
121,2017-01-04T13:56:00,2017-01-04T14:10:00,Repair (Complex),,,,SolverC1,
121,2017-01-04T14:10:00,2017-01-04T14:19:00,Test Repair,TRUE,,0,Tester3,
121,2017-01-04T14:30:00,2017-01-04T14:30:00,Inform User,,,,System,
121,2017-01-04T14:30:00,2017-01-04T14:30:00,Archive Repair,TRUE,,0,System,
122,2017-01-04T12:27:00,2017-01-04T12:27:00,Register,,,,System,
122,2017-01-04T12:27:00,2017-01-04T12:34:00,Analyze Defect,,2,,Tester6,T1
122,2017-01-04T12:50:00,2017-01-04T12:55:00,Repair (Simple),,,,SolverS1,
122,2017-01-04T12:55:00,2017-01-04T13:04:00,Test Repair,FALSE,,1,Tester5,
122,2017-01-04T12:56:00,2017-01-04T12:56:00,Inform User,,,,System,
122,2017-01-04T13:13:00,2017-01-04T13:13:00,Restart Repair,,,,System,
122,2017-01-04T13:13:00,2017-01-04T13:19:00,Repair (Simple),,,,SolverS1,
122,2017-01-04T13:19:00,2017-01-04T13:29:00,Test Repair,FALSE,,2,Tester5,
122,2017-01-04T13:37:00,2017-01-04T13:37:00,Restart Repair,,,,System,
122,2017-01-04T13:37:00,2017-01-04T13:57:00,Repair (Simple),,,,SolverS3,
122,2017-01-04T13:57:00,2017-01-04T14:05:00,Test Repair,TRUE,,3,Tester1,
122,2017-01-04T14:14:00,2017-01-04T14:14:00,Archive Repair,TRUE,,3,System,
123,2017-01-04T14:58:00,2017-01-04T14:58:00,Register,,,,System,
123,2017-01-04T14:58:00,2017-01-04T15:08:00,Analyze Defect,,9,,Tester5,T3
123,2017-01-04T15:23:00,2017-01-04T16:12:00,Repair (Complex),,,,SolverC3,
123,2017-01-04T15:56:00,2017-01-04T15:56:00,Inform User,,,,System,
123,2017-01-04T16:12:00,2017-01-04T16:18:00,Test Repair,TRUE,,0,Tester3,
123,2017-01-04T16:24:00,2017-01-04T16:24:00,Archive Repair,TRUE,,0,System,
124,2017-01-04T23:26:00,2017-01-04T23:26:00,Register,,,,System,
124,2017-01-04T23:26:00,2017-01-04T23:32:00,Analyze Defect,,4,,Tester6,T3
124,2017-01-04T23:51:00,2017-01-05T00:11:00,Repair (Simple),,,,SolverS3,
124,2017-01-05T00:09:00,2017-01-05T00:09:00,Inform User,,,,System,
124,2017-01-05T00:11:00,2017-01-05T00:20:00,Test Repair,TRUE,,1,Tester6,
124,2017-01-05T00:26:00,2017-01-05T00:26:00,Archive Repair,TRUE,,1,System,
125,2017-01-03T23:37:00,2017-01-03T23:37:00,Register,,,,System,
125,2017-01-03T23:37:00,2017-01-03T23:43:00,Analyze Defect,,9,,Tester2,T2
125,2017-01-04T00:02:00,2017-01-04T00:22:00,Repair (Complex),,,,SolverC2,
125,2017-01-04T00:22:00,2017-01-04T00:28:00,Test Repair,FALSE,,0,Tester6,
125,2017-01-04T00:30:00,2017-01-04T00:30:00,Inform User,,,,System,
125,2017-01-04T00:36:00,2017-01-04T00:36:00,Restart Repair,,,,System,
125,2017-01-04T00:36:00,2017-01-04T00:53:00,Repair (Complex),,,,SolverC1,
125,2017-01-04T00:53:00,2017-01-04T01:00:00,Test Repair,TRUE,,0,Tester4,
125,2017-01-04T01:10:00,2017-01-04T01:10:00,Archive Repair,TRUE,,0,System,
126,2017-01-05T02:47:00,2017-01-05T02:47:00,Register,,,,System,
126,2017-01-05T02:47:00,2017-01-05T02:55:00,Analyze Defect,,4,,Tester2,T2
126,2017-01-05T03:11:00,2017-01-05T03:18:00,Repair (Simple),,,,SolverS1,
126,2017-01-05T03:18:00,2017-01-05T03:27:00,Test Repair,FALSE,,1,Tester4,
126,2017-01-05T03:30:00,2017-01-05T03:30:00,Inform User,,,,System,
126,2017-01-05T03:34:00,2017-01-05T03:34:00,Restart Repair,,,,System,
126,2017-01-05T03:34:00,2017-01-05T03:39:00,Repair (Simple),,,,SolverS1,
126,2017-01-05T03:39:00,2017-01-05T03:44:00,Test Repair,FALSE,,2,Tester2,
126,2017-01-05T03:51:00,2017-01-05T03:51:00,Restart Repair,,,,System,
126,2017-01-05T03:51:00,2017-01-05T04:08:00,Repair (Simple),,,,SolverS3,
126,2017-01-05T04:08:00,2017-01-05T04:16:00,Test Repair,TRUE,,3,Tester4,
126,2017-01-05T04:24:00,2017-01-05T04:24:00,Archive Repair,TRUE,,3,System,
127,2017-01-04T21:34:00,2017-01-04T21:34:00,Register,,,,System,
127,2017-01-04T21:34:00,2017-01-04T21:41:00,Analyze Defect,,3,,Tester6,T1
127,2017-01-04T22:05:00,2017-01-04T22:12:00,Repair (Simple),,,,SolverS2,
127,2017-01-04T22:12:00,2017-01-04T22:20:00,Test Repair,TRUE,,1,Tester2,
127,2017-01-04T22:14:00,2017-01-04T22:14:00,Inform User,,,,System,
127,2017-01-04T22:25:00,2017-01-04T22:25:00,Archive Repair,TRUE,,1,System,
128,2017-01-04T23:17:00,2017-01-04T23:17:00,Register,,,,System,
128,2017-01-04T23:17:00,2017-01-04T23:25:00,Analyze Defect,,2,,Tester1,T2
128,2017-01-04T23:44:00,2017-01-04T23:51:00,Repair (Simple),,,,SolverS2,
128,2017-01-04T23:49:00,2017-01-04T23:49:00,Inform User,,,,System,
128,2017-01-04T23:51:00,2017-01-04T23:59:00,Test Repair,TRUE,,1,Tester3,
128,2017-01-05T00:08:00,2017-01-05T00:08:00,Archive Repair,TRUE,,1,System,
129,2017-01-04T01:16:00,2017-01-04T01:16:00,Register,,,,System,
129,2017-01-04T01:16:00,2017-01-04T01:25:00,Analyze Defect,,6,,Tester2,T1
129,2017-01-04T01:36:00,2017-01-04T01:54:00,Repair (Complex),,,,SolverC1,
129,2017-01-04T01:48:00,2017-01-04T01:48:00,Inform User,,,,System,
129,2017-01-04T01:54:00,2017-01-04T02:03:00,Test Repair,TRUE,,0,Tester2,
129,2017-01-04T02:10:00,2017-01-04T02:10:00,Archive Repair,TRUE,,0,System,
13,2017-01-01T12:35:00,2017-01-01T12:35:00,Register,,,,System,
13,2017-01-01T12:35:00,2017-01-01T12:42:00,Analyze Defect,,7,,Tester6,T1
13,2017-01-01T13:05:00,2017-01-01T13:45:00,Repair (Complex),,,,SolverC3,
13,2017-01-01T13:25:00,2017-01-01T13:25:00,Inform User,,,,System,
13,2017-01-01T13:45:00,2017-01-01T13:54:00,Test Repair,TRUE,,0,Tester4,
13,2017-01-01T14:01:00,2017-01-01T14:01:00,Archive Repair,TRUE,,0,System,
130,2017-01-04T13:30:00,2017-01-04T13:30:00,Register,,,,System,
130,2017-01-04T13:30:00,2017-01-04T13:39:00,Analyze Defect,,1,,Tester4,T2
130,2017-01-04T14:09:00,2017-01-04T14:15:00,Repair (Simple),,,,SolverS1,
130,2017-01-04T14:15:00,2017-01-04T14:25:00,Test Repair,FALSE,,1,Tester5,
130,2017-01-04T14:26:00,2017-01-04T14:26:00,Inform User,,,,System,
130,2017-01-04T14:31:00,2017-01-04T14:31:00,Restart Repair,,,,System,
130,2017-01-04T14:31:00,2017-01-04T14:42:00,Repair (Simple),,,,SolverS2,
130,2017-01-04T14:42:00,2017-01-04T14:52:00,Test Repair,TRUE,,2,Tester2,
130,2017-01-04T15:02:00,2017-01-04T15:02:00,Archive Repair,TRUE,,2,System,
131,2017-01-03T21:10:00,2017-01-03T21:10:00,Register,,,,System,
131,2017-01-03T21:10:00,2017-01-03T21:19:00,Analyze Defect,,10,,Tester4,T2
131,2017-01-03T21:21:00,2017-01-03T22:01:00,Repair (Complex),,,,SolverC3,
131,2017-01-03T21:57:00,2017-01-03T21:57:00,Inform User,,,,System,
131,2017-01-03T22:01:00,2017-01-03T22:09:00,Test Repair,TRUE,,0,Tester5,
131,2017-01-03T22:19:00,2017-01-03T22:19:00,Archive Repair,TRUE,,0,System,
132,2017-01-04T18:08:00,2017-01-04T18:08:00,Register,,,,System,
132,2017-01-04T18:08:00,2017-01-04T18:16:00,Analyze Defect,,7,,Tester2,T3
132,2017-01-04T18:37:00,2017-01-04T18:55:00,Repair (Complex),,,,SolverC1,
132,2017-01-04T18:39:00,2017-01-04T18:39:00,Inform User,,,,System,
132,2017-01-04T18:55:00,2017-01-04T19:01:00,Test Repair,TRUE,,0,Tester1,
132,2017-01-04T19:07:00,2017-01-04T19:07:00,Archive Repair,TRUE,,0,System,
133,2017-01-04T00:42:00,2017-01-04T00:42:00,Register,,,,System,
133,2017-01-04T00:42:00,2017-01-04T00:52:00,Analyze Defect,,3,,Tester4,T2
133,2017-01-04T01:18:00,2017-01-04T01:23:00,Repair (Simple),,,,SolverS2,
133,2017-01-04T01:23:00,2017-01-04T01:30:00,Test Repair,FALSE,,1,Tester4,
133,2017-01-04T01:29:00,2017-01-04T01:29:00,Inform User,,,,System,
133,2017-01-04T01:37:00,2017-01-04T01:37:00,Restart Repair,,,,System,
133,2017-01-04T01:37:00,2017-01-04T01:47:00,Repair (Simple),,,,SolverS2,
133,2017-01-04T01:47:00,2017-01-04T01:57:00,Test Repair,TRUE,,2,Tester4,
133,2017-01-04T02:06:00,2017-01-04T02:06:00,Archive Repair,TRUE,,2,System,
134,2017-01-04T14:49:00,2017-01-04T14:49:00,Register,,,,System,
134,2017-01-04T14:49:00,2017-01-04T14:57:00,Analyze Defect,,4,,Tester3,T3
134,2017-01-04T15:20:00,2017-01-04T15:20:00,Inform User,,,,System,
134,2017-01-04T15:27:00,2017-01-04T15:32:00,Repair (Simple),,,,SolverS1,
134,2017-01-04T15:32:00,2017-01-04T15:37:00,Test Repair,FALSE,,1,Tester3,
134,2017-01-04T15:45:00,2017-01-04T15:45:00,Restart Repair,,,,System,
134,2017-01-04T15:45:00,2017-01-04T15:55:00,Repair (Simple),,,,SolverS2,
134,2017-01-04T15:55:00,2017-01-04T16:01:00,Test Repair,TRUE,,2,Tester5,
134,2017-01-04T16:08:00,2017-01-04T16:08:00,Archive Repair,TRUE,,2,System,
135,2017-01-05T06:09:00,2017-01-05T06:09:00,Register,,,,System,
135,2017-01-05T06:09:00,2017-01-05T06:19:00,Analyze Defect,,3,,Tester1,T2
135,2017-01-05T06:38:00,2017-01-05T06:51:00,Repair (Simple),,,,SolverS3,
135,2017-01-05T06:41:00,2017-01-05T06:41:00,Inform User,,,,System,
135,2017-01-05T06:51:00,2017-01-05T06:56:00,Test Repair,TRUE,,1,Tester1,
135,2017-01-05T07:04:00,2017-01-05T07:04:00,Archive Repair,TRUE,,1,System,
136,2017-01-04T12:28:00,2017-01-04T12:28:00,Register,,,,System,
136,2017-01-04T12:28:00,2017-01-04T12:35:00,Analyze Defect,,6,,Tester2,T2
136,2017-01-04T13:05:00,2017-01-04T13:12:00,Repair (Simple),,,,SolverS1,
136,2017-01-04T13:12:00,2017-01-04T13:19:00,Test Repair,FALSE,,1,Tester6,
136,2017-01-04T13:20:00,2017-01-04T13:20:00,Inform User,,,,System,
136,2017-01-04T13:28:00,2017-01-04T13:28:00,Restart Repair,,,,System,
136,2017-01-04T13:28:00,2017-01-04T13:44:00,Repair (Complex),,,,SolverC1,
136,2017-01-04T13:44:00,2017-01-04T13:50:00,Test Repair,TRUE,,1,Tester5,
136,2017-01-04T14:00:00,2017-01-04T14:00:00,Archive Repair,TRUE,,1,System,
137,2017-01-04T09:41:00,2017-01-04T09:41:00,Register,,,,System,
137,2017-01-04T09:41:00,2017-01-04T09:51:00,Analyze Defect,,1,,Tester2,T3
137,2017-01-04T10:19:00,2017-01-04T10:19:00,Inform User,,,,System,
137,2017-01-04T10:20:00,2017-01-04T10:27:00,Repair (Simple),,,,SolverS1,
137,2017-01-04T10:27:00,2017-01-04T10:37:00,Test Repair,FALSE,,1,Tester3,
137,2017-01-04T10:47:00,2017-01-04T10:47:00,Restart Repair,,,,System,
137,2017-01-04T10:47:00,2017-01-04T10:54:00,Repair (Simple),,,,SolverS1,
137,2017-01-04T10:54:00,2017-01-04T11:01:00,Test Repair,FALSE,,2,Tester1,
137,2017-01-04T11:11:00,2017-01-04T11:11:00,Restart Repair,,,,System,
137,2017-01-04T11:11:00,2017-01-04T11:17:00,Repair (Simple),,,,SolverS1,
137,2017-01-04T11:17:00,2017-01-04T11:24:00,Test Repair,FALSE,,3,Tester3,
137,2017-01-04T11:32:00,2017-01-04T11:32:00,Archive Repair,FALSE,,3,System,
138,2017-01-05T00:38:00,2017-01-05T00:38:00,Register,,,,System,
138,2017-01-05T00:38:00,2017-01-05T00:43:00,Analyze Defect,,8,,Tester3,T2
138,2017-01-05T01:05:00,2017-01-05T01:21:00,Repair (Complex),,,,SolverC1,
138,2017-01-05T01:21:00,2017-01-05T01:27:00,Test Repair,TRUE,,0,Tester6,
138,2017-01-05T01:29:00,2017-01-05T01:29:00,Inform User,,,,System,
138,2017-01-05T01:36:00,2017-01-05T01:36:00,Archive Repair,TRUE,,0,System,
139,2017-01-03T23:53:00,2017-01-03T23:53:00,Register,,,,System,
139,2017-01-03T23:53:00,2017-01-04T00:01:00,Analyze Defect,,1,,Tester3,T3
139,2017-01-04T00:14:00,2017-01-04T00:20:00,Repair (Simple),,,,SolverS1,
139,2017-01-04T00:20:00,2017-01-04T00:30:00,Test Repair,FALSE,,1,Tester5,
139,2017-01-04T00:22:00,2017-01-04T00:22:00,Inform User,,,,System,
139,2017-01-04T00:36:00,2017-01-04T00:36:00,Restart Repair,,,,System,
139,2017-01-04T00:36:00,2017-01-04T00:42:00,Repair (Simple),,,,SolverS1,
139,2017-01-04T00:42:00,2017-01-04T00:52:00,Test Repair,FALSE,,2,Tester6,
139,2017-01-04T01:00:00,2017-01-04T01:00:00,Restart Repair,,,,System,
139,2017-01-04T01:00:00,2017-01-04T01:18:00,Repair (Simple),,,,SolverS3,
139,2017-01-04T01:18:00,2017-01-04T01:25:00,Test Repair,TRUE,,3,Tester3,
139,2017-01-04T01:32:00,2017-01-04T01:32:00,Archive Repair,TRUE,,3,System,
14,2017-01-02T18:03:00,2017-01-02T18:03:00,Register,,,,System,
14,2017-01-02T18:03:00,2017-01-02T18:12:00,Analyze Defect,,8,,Tester1,T3
14,2017-01-02T18:23:00,2017-01-02T18:33:00,Repair (Complex),,,,SolverC2,
14,2017-01-02T18:33:00,2017-01-02T18:40:00,Test Repair,FALSE,,0,Tester3,
14,2017-01-02T18:46:00,2017-01-02T18:46:00,Restart Repair,,,,System,
14,2017-01-02T18:46:00,2017-01-02T19:31:00,Repair (Complex),,,,SolverC3,
14,2017-01-02T18:56:00,2017-01-02T18:56:00,Inform User,,,,System,
14,2017-01-02T19:31:00,2017-01-02T19:37:00,Test Repair,TRUE,,0,Tester6,
14,2017-01-02T19:45:00,2017-01-02T19:45:00,Archive Repair,TRUE,,0,System,
140,2017-01-04T09:13:00,2017-01-04T09:13:00,Register,,,,System,
140,2017-01-04T09:13:00,2017-01-04T09:20:00,Analyze Defect,,8,,Tester6,T3
140,2017-01-04T09:30:00,2017-01-04T10:10:00,Repair (Complex),,,,SolverC3,
140,2017-01-04T09:58:00,2017-01-04T09:58:00,Inform User,,,,System,
140,2017-01-04T10:10:00,2017-01-04T10:16:00,Test Repair,TRUE,,0,Tester5,
140,2017-01-04T10:26:00,2017-01-04T10:26:00,Archive Repair,TRUE,,0,System,
141,2017-01-04T21:45:00,2017-01-04T21:45:00,Register,,,,System,
141,2017-01-04T21:45:00,2017-01-04T21:52:00,Analyze Defect,,8,,Tester5,T2
141,2017-01-04T21:59:00,2017-01-04T22:43:00,Repair (Complex),,,,SolverC3,
141,2017-01-04T22:28:00,2017-01-04T22:28:00,Inform User,,,,System,
141,2017-01-04T22:43:00,2017-01-04T22:48:00,Test Repair,TRUE,,0,Tester5,
141,2017-01-04T22:56:00,2017-01-04T22:56:00,Archive Repair,TRUE,,0,System,
142,2017-01-05T03:46:00,2017-01-05T03:46:00,Register,,,,System,
142,2017-01-05T03:46:00,2017-01-05T03:55:00,Analyze Defect,,6,,Tester1,T3
142,2017-01-05T04:05:00,2017-01-05T04:53:00,Repair (Complex),,,,SolverC3,
142,2017-01-05T04:44:00,2017-01-05T04:44:00,Inform User,,,,System,
142,2017-01-05T04:53:00,2017-01-05T05:00:00,Test Repair,TRUE,,0,Tester2,
142,2017-01-05T05:07:00,2017-01-05T05:07:00,Archive Repair,TRUE,,0,System,
143,2017-01-05T05:03:00,2017-01-05T05:03:00,Register,,,,System,
143,2017-01-05T05:03:00,2017-01-05T05:09:00,Analyze Defect,,10,,Tester2,T1
143,2017-01-05T05:10:00,2017-01-05T05:24:00,Repair (Complex),,,,SolverC2,
143,2017-01-05T05:24:00,2017-01-05T05:31:00,Test Repair,FALSE,,0,Tester5,
143,2017-01-05T05:36:00,2017-01-05T05:36:00,Restart Repair,,,,System,
143,2017-01-05T05:36:00,2017-01-05T06:19:00,Repair (Complex),,,,SolverC3,
143,2017-01-05T05:56:00,2017-01-05T05:56:00,Inform User,,,,System,
143,2017-01-05T06:19:00,2017-01-05T06:28:00,Test Repair,TRUE,,0,Tester4,
143,2017-01-05T06:37:00,2017-01-05T06:37:00,Archive Repair,TRUE,,0,System,
144,2017-01-04T06:34:00,2017-01-04T06:34:00,Register,,,,System,
144,2017-01-04T06:34:00,2017-01-04T06:40:00,Analyze Defect,,9,,Tester6,T2
144,2017-01-04T06:50:00,2017-01-04T07:07:00,Repair (Complex),,,,SolverC1,
144,2017-01-04T06:57:00,2017-01-04T06:57:00,Inform User,,,,System,
144,2017-01-04T07:07:00,2017-01-04T07:16:00,Test Repair,TRUE,,0,Tester6,
144,2017-01-04T07:25:00,2017-01-04T07:25:00,Archive Repair,TRUE,,0,System,
145,2017-01-04T13:10:00,2017-01-04T13:10:00,Register,,,,System,
145,2017-01-04T13:10:00,2017-01-04T13:19:00,Analyze Defect,,7,,Tester2,T3
145,2017-01-04T13:38:00,2017-01-04T13:38:00,Inform User,,,,System,
145,2017-01-04T13:43:00,2017-01-04T14:00:00,Repair (Complex),,,,SolverC2,
145,2017-01-04T14:00:00,2017-01-04T14:05:00,Test Repair,TRUE,,0,Tester6,
145,2017-01-04T14:12:00,2017-01-04T14:12:00,Archive Repair,TRUE,,0,System,
146,2017-01-04T18:20:00,2017-01-04T18:20:00,Register,,,,System,
146,2017-01-04T18:20:00,2017-01-04T18:29:00,Analyze Defect,,2,,Tester2,T3
146,2017-01-04T18:36:00,2017-01-04T18:51:00,Repair (Simple),,,,SolverS2,
146,2017-01-04T18:51:00,2017-01-04T18:59:00,Test Repair,TRUE,,1,Tester2,
146,2017-01-04T19:14:00,2017-01-04T19:14:00,Inform User,,,,System,
146,2017-01-04T19:14:00,2017-01-04T19:14:00,Archive Repair,TRUE,,1,System,
147,2017-01-05T13:18:00,2017-01-05T13:18:00,Register,,,,System,
147,2017-01-05T13:18:00,2017-01-05T13:26:00,Analyze Defect,,9,,Tester6,T2
147,2017-01-05T13:41:00,2017-01-05T13:41:00,Inform User,,,,System,
147,2017-01-05T13:44:00,2017-01-05T13:57:00,Repair (Complex),,,,SolverC1,
147,2017-01-05T13:57:00,2017-01-05T14:05:00,Test Repair,TRUE,,0,Tester1,
147,2017-01-05T14:13:00,2017-01-05T14:13:00,Archive Repair,TRUE,,0,System,
148,2017-01-04T08:53:00,2017-01-04T08:53:00,Register,,,,System,
148,2017-01-04T08:53:00,2017-01-04T09:03:00,Analyze Defect,,5,,Tester5,T1
148,2017-01-04T09:06:00,2017-01-04T09:17:00,Repair (Simple),,,,SolverS2,
148,2017-01-04T09:17:00,2017-01-04T09:26:00,Test Repair,FALSE,,1,Tester2,
148,2017-01-04T09:35:00,2017-01-04T09:35:00,Restart Repair,,,,System,
148,2017-01-04T09:35:00,2017-01-04T09:50:00,Repair (Complex),,,,SolverC2,
148,2017-01-04T09:37:00,2017-01-04T09:37:00,Inform User,,,,System,
148,2017-01-04T09:50:00,2017-01-04T09:58:00,Test Repair,TRUE,,1,Tester1,
148,2017-01-04T10:07:00,2017-01-04T10:07:00,Archive Repair,TRUE,,1,System,
149,2017-01-04T13:46:00,2017-01-04T13:46:00,Register,,,,System,
149,2017-01-04T13:46:00,2017-01-04T13:53:00,Analyze Defect,,4,,Tester2,T1
149,2017-01-04T14:20:00,2017-01-04T14:25:00,Repair (Simple),,,,SolverS1,
149,2017-01-04T14:25:00,2017-01-04T14:25:00,Inform User,,,,System,
149,2017-01-04T14:25:00,2017-01-04T14:32:00,Test Repair,FALSE,,1,Tester2,
149,2017-01-04T14:39:00,2017-01-04T14:39:00,Restart Repair,,,,System,
149,2017-01-04T14:39:00,2017-01-04T14:51:00,Repair (Simple),,,,SolverS3,
149,2017-01-04T14:51:00,2017-01-04T15:01:00,Test Repair,TRUE,,2,Tester6,
149,2017-01-04T15:11:00,2017-01-04T15:11:00,Archive Repair,TRUE,,2,System,
15,2017-01-01T11:16:00,2017-01-01T11:16:00,Register,,,,System,
15,2017-01-01T11:16:00,2017-01-01T11:22:00,Analyze Defect,,7,,Tester2,T3
15,2017-01-01T11:29:00,2017-01-01T12:16:00,Repair (Complex),,,,SolverC3,
15,2017-01-01T11:43:00,2017-01-01T11:43:00,Inform User,,,,System,
